license,f0_
Artistic-2.0,8535
ISC,17735
MIT,1696489
CC0-1.0,26807
epl-1.0,24199
GPL-2.0,341505
GPL-3.0,340407
MPL-2.0,18832
AGPL-3.0,41179
LGPL-2.1,22637
LGPL-3.0,39839
Unlicense,46414
Apache-2.0,495134
BSD-2-Clause,55221
BSD-3-Clause,150701
